whose data do
||| interpretation |||
interpretation ||| when
||| when engaged
when engaged in
engaged in their
in their own
their own research
own research |||
research ||| scientific
||| scientific researchers
scientific researchers take
researchers take steps
take steps to
steps to ensure
to ensure the
ensure the quality
the quality and
quality and integrity
and integrity |||
integrity ||| of
||| of the
of the data
the data they
data they capture
they capture |||
capture ||| however
||| however it
however it is
it is much
is much more
much more difficult
more difficult for
difficult for |||
for ||| researchers
||| researchers to
researchers to evaluate
to evaluate data
evaluate data that
data that are
that are collected
are collected by
collected by others
by others because
others because of
because of |||
of ||| the
||| the lack
the lack of
lack of standardization
of standardization in
standardization in the
in the ways
the ways that
ways that data
that data are
data are documented
are documented |||
documented ||| and
||| and annotated
and annotated |||
annotated ||| these
||| these standards
these standards are
standards are necessary
are necessary to
necessary to provide
to provide enough
provide enough |||
enough ||| information
||| information to
information to enable
to enable reuse
enable reuse of
reuse of data
of data by
data by others
by others |||
others ||| topics
||| topics |||
topics ||| information
||| information infrastructure
information infrastructure development
infrastructure development |||
development ||| information
||| information management
information management |||
management ||| information
||| information technology
information technology and
technology and services
and services |||
services ||| nature
||| nature and
nature and scope
and scope of
scope of ischools
of ischools and
ischools and iresearch
and iresearch |||
iresearch ||| preserving
||| preserving digital
preserving digital information
digital information |||
information ||| keywords
||| keywords |||
keywords ||| data
||| data integrity
data integrity digital
integrity digital libraries
digital libraries scientific
libraries scientific data
scientific data |||
data ||| practices
||| practices |||
practices ||| copyright
||| copyright and
copyright and disclaimer
and disclaimer information
disclaimer information |||
information ||| the
||| the copyright
the copyright of
copyright of this
of this document
this document remains
document remains with
remains with the
with the authors
the authors andor
authors andor their
andor their |||
their ||| institutions
||| institutions |||
institutions ||| by
||| by submitting
by submitting their
submitting their papers
their papers to
papers to the
to the ischools
the ischools conference
ischools conference |||
conference ||| web
||| web site
web site the
site the authors
the authors hereby
authors hereby grant
hereby grant a
grant a nonexclusive
a nonexclusive license
nonexclusive license for
license for the
for the |||
the ||| ischools
||| ischools to
ischools to post
to post and
post and disseminate
and disseminate their
disseminate their papers
their papers on
papers on its
on its web
its web site
web site and
site and any
and any |||
any ||| other
||| other electronic
other electronic media
electronic media |||
media ||| contact
||| contact the
contact the authors
the authors directly
authors directly for
directly for any
for any use
any use outside
use outside |||
outside ||| of
||| of downloading
of downloading and
downloading and referencing
and referencing this
referencing this paper
this paper |||
paper ||| neither
||| neither the
neither the ischools
the ischools nor
ischools nor any
nor any |||
any ||| of
||| of its
of its associated
its associated universities
associated universities endorse
universities endorse this
endorse this work
this work |||
work ||| the
||| the authors
the authors are
authors are solely
are solely |||
solely ||| responsible
||| responsible for
responsible for their
for their papers
their papers content
papers content |||
content ||| our
||| our thanks
our thanks to
thanks to the
to the association
the association for
association for |||
for ||| computing
||| computing machinery
computing machinery for
machinery for permission
for permission to
permission to adapt
to adapt and
adapt and use
and use their
use their template
their template for
template for |||
for ||| the
||| the ischools
the ischools conference
ischools conference |||
conference ||| additionally
||| additionally researchers
additionally researchers will
researchers will only
will only use
only use data
use data collected
data collected by
collected by others
by others if
others if |||
if ||| they
||| they are
they are confident
are confident in
confident in its
in its quality
its quality and
quality and integrity
and integrity |||
integrity ||| the
||| the lack
the lack of
lack of |||
of ||| sufficient
||| sufficient methods
sufficient methods for
methods for ensuring
for ensuring data
ensuring data integrity
data integrity is
integrity is a
is a serious
a serious |||
serious ||| impediment
||| impediment to
impediment to the
to the establishment
the establishment and
establishment and use
and use of
use of data
of data repositories
data repositories in
repositories in |||
in ||| many
||| many sciences
many sciences |||
sciences ||| in
||| in this
in this paper
this paper we
paper we will
we will discuss
will discuss data
discuss data integrity
data integrity issues
integrity issues |||
issues ||| in
||| in relation
in relation to
relation to environmental
to environmental and
environmental and ecological
and ecological data
ecological data and
data and the
and the |||
the ||| implications
||| implications of
implications of these
of these issues
these issues on
issues on the
on the development
the development of
development of data
of data digital
data digital |||
digital ||| libraries
||| libraries |||
libraries ||| problem
||| problem statement
problem statement |||
statement ||| researchers
||| researchers want
researchers want to
want to capture
to capture manage
capture manage and
manage and store
and store their
store their data
their data in
data in ways
in ways |||
ways ||| that
||| that assures
that assures its
assures its integrity
its integrity |||
integrity ||| similarly
||| similarly librarians
similarly librarians archivists
librarians archivists and
archivists and |||
and ||| future
||| future users
future users of
users of those
of those data
those data want
data want to
want to be
to be assured
be assured of
assured of the
of the integrity
the integrity of
integrity of the
of the |||
the ||| data
||| data over
data over time
over time |||
time ||| but
||| but what
but what does
what does integrity
does integrity mean
integrity mean in
mean in this
in this |||
this ||| environment
||| environment and
environment and to
and to whom
to whom we
whom we draw
we draw upon
draw upon our
upon our research
our research on
research on data
on data |||
data ||| practices
||| practices conducted
practices conducted at
conducted at a
at a large
a large collaborative
large collaborative multidisciplinary
collaborative multidisciplinary |||
multidisciplinary ||| science
||| science and
science and technology
and technology center
technology center to
center to compare
to compare the
compare the notions
the notions of
notions of |||
of ||| integrity
||| integrity held
integrity held by
held by different
by different research
different research participants
research participants to
participants to suggest
to suggest |||
suggest ||| implications
||| implications for
implications for ischoolbased
for ischoolbased research
ischoolbased research on
research on information
on information |||
information ||| infrastructure
||| infrastructure and
infrastructure and on
and on digital
on digital preservation
digital preservation |||
preservation ||| scientific
||| scientific data
scientific data practice
data practice research
practice research |||
research ||| research
||| research on
research on scientific
on scientific data
scientific data practices
data practices has
practices has concentrated
has concentrated on
concentrated on big
on big |||
big ||| science
||| science such
science such as
such as physics
as physics or
physics or on
or on large
on large collaborations
large collaborations in
collaborations in areas
in areas |||
areas ||| such
||| such as
such as biodiversity
as biodiversity |||
biodiversity ||| equally
||| equally important
equally important in
important in understanding
in understanding |||
understanding ||| scientific
||| scientific data
scientific data practices
data practices is
practices is the
is the study
the study of
study of small
of small teams
small teams that
teams that produce
that produce |||
produce ||| observations
||| observations of
observations of longterm
of longterm multidisciplinary
longterm multidisciplinary and
multidisciplinary and international
and international |||
international ||| value
||| value such
value such as
such as those
as those in
those in the
in the environmental
the environmental sciences
environmental sciences |||
sciences ||| the
||| the emergence
the emergence of
emergence of technology
of technology such
technology such as
such as wireless
as wireless sensing
wireless sensing systems
sensing systems |||
systems ||| has
||| has contributed
has contributed to
contributed to an
to an increase
an increase in
increase in the
in the volume
the volume and
volume and complexity
and complexity of
complexity of |||
of ||| data
||| data that
data that can
that can be
can be generated
be generated by
generated by small
by small research
small research teams
research teams |||
teams ||| scientists
||| scientists can
scientists can |||
can ||| perform
||| perform much
perform much more
much more comprehensive
more comprehensive spatial
comprehensive spatial and
spatial and temporal
and temporal insitu
temporal insitu |||
insitu ||| sensing
||| sensing of
sensing of environments
of environments than
environments than is
than is possible
is possible with
possible with manual
with manual field
manual field |||
field ||| methods
||| methods opening
methods opening up
opening up new
up new directions
new directions for
directions for research
for research questions
research questions and
questions and |||
and ||| methods
||| methods |||
methods ||| however
||| however because
however because the
because the use
the use of
use of wireless
of wireless sensing
wireless sensing systems
sensing systems in
systems in |||
in ||| environmental
||| environmental and
environmental and ecological
and ecological research
ecological research is
research is a
is a relatively
a relatively new
relatively new |||
new ||| phenomenon
||| phenomenon data
phenomenon data management
data management techniques
management techniques for
techniques for data
for data from
data from such
from such |||
such ||| systems
||| systems are
systems are largely
are largely local
largely local and
local and idiosyncratic
and idiosyncratic in
idiosyncratic in nature
in nature |||
nature ||| data
||| data standards
data standards |||
standards ||| karasti
||| karasti baker
karasti baker halkola
baker halkola describe
halkola describe their
describe their work
their work in
work in the
in the lter
the lter |||
lter ||| program
||| program |||
program ||| they
||| they have
they have found
have found that
found that it
that it is
it is necessary
is necessary to
necessary to give
to give |||
give ||| researchers
||| researchers multiple
researchers multiple paths
multiple paths and
paths and incentives
and incentives for
incentives for producing
for producing metadata
producing metadata |||
metadata ||| and
||| and documentation
and documentation |||
documentation ||| rapid
||| rapid technological
rapid technological change
technological change requires
change requires the
requires the |||
the ||| lter
||| lter program
lter program to
program to take
to take a
take a sciencedriven
a sciencedriven view
sciencedriven view of
view of data
of data |||
data ||| management
||| management rather
management rather than
rather than the
than the technologydriven
the technologydriven view
technologydriven view that
view that |||
that ||| motivates
||| motivates most
motivates most discussion
most discussion around
discussion around escience
around escience data
escience data curation
data curation where
curation where |||
where ||| the
||| the focus
the focus is
focus is on
is on the
on the digital
the digital obsolescence
digital obsolescence problem
obsolescence problem and
problem and digital
and digital |||
digital ||| preservation
||| preservation techniques
preservation techniques like
techniques like migration
like migration and
migration and emulation
and emulation because
emulation because |||
because ||| data
||| data regularly
data regularly outlive
regularly outlive the
outlive the technology
the technology used
technology used to
used to create
to create them
create them |||
them ||| they
||| they |||
they ||| emphasize
||| emphasize an
emphasize an overall
an overall framework
overall framework for
framework for data
for data stewardship
data stewardship involving
stewardship involving |||
involving ||| data
||| data definitions
data definitions data
definitions data requirements
data requirements and
requirements and quality
and quality assurance
quality assurance as
assurance as well
as well |||
well ||| as
||| as user
as user feedback
user feedback redesign
feedback redesign and
redesign and data
and data exchange
data exchange pg
exchange pg |||
pg ||| several
||| several xmlbased
several xmlbased standards
xmlbased standards and
standards and protocols
and protocols exist
protocols exist for
exist for this
for this diverse
this diverse |||
diverse ||| community
||| community but
community but none
but none of
none of them
of them are
them are stable
are stable or
stable or widely
or widely adopted
widely adopted |||
adopted ||| structures
||| structures most
structures most relevant
most relevant to
relevant to embedded
to embedded sensor
embedded sensor network
sensor network data
network data in
data in the
in the |||
the ||| environmental
||| environmental sciences
environmental sciences include
sciences include the
include the ecological
the ecological metadata
ecological metadata |||
metadata ||| language
||| language supported
language supported by
supported by the
by the knowledge
the knowledge network
knowledge network for
network for |||
for ||| biocomplexity
||| biocomplexity and
biocomplexity and the
and the sensor
the sensor modeling
sensor modeling language
modeling language |||
language ||| sensorml
||| sensorml supported
sensorml supported by
supported by the
by the open
the open geospatial
open geospatial consortium
geospatial consortium |||
consortium ||| which
||| which describes
which describes sensor
describes sensor network
sensor network equipment
network equipment and
equipment and relationships
and relationships |||
relationships ||| sensorml
||| sensorml is
sensorml is complemented
is complemented by
complemented by the
by the observations
the observations and
observations and modeling
and modeling |||
modeling ||| om
||| om language
om language to
language to express
to express ecology
express ecology data
ecology data captured
data captured by
captured by the
by the sensor
the sensor |||
sensor ||| network
||| network |||
network ||| sensorml
||| sensorml and
sensorml and om
and om are
om are in
are in the
in the final
the final stages
final stages of
stages of being
of being |||
being ||| accepted
||| accepted as
accepted as formal
as formal standards
formal standards |||
standards ||| the
||| the multiplicity
the multiplicity of
multiplicity of standards
of standards in
standards in this
in this field
this field poses
field poses significant
poses significant |||
significant ||| challenges
||| challenges to
challenges to researchers
to researchers and
researchers and has
and has limited
has limited the
limited the widespread
the widespread |||
widespread ||| implementation
||| implementation of
implementation of any
of any individual
any individual standard
individual standard |||
standard ||| as
||| as the
as the use
the use of
use of complex
of complex |||
complex ||| instrumentation
||| instrumentation such
instrumentation such as
such as wireless
as wireless sensing
wireless sensing systems
sensing systems becomes
systems becomes more
becomes more |||
more ||| widespread
||| widespread environmental
widespread environmental scientists
environmental scientists face
scientists face the
face the questions
the questions of
questions of what
of what to
what to |||
to ||| standardize
||| standardize when
standardize when and
when and for
and for what
for what purposes
what purposes |||
purposes ||| attempts
||| attempts to
attempts to develop
to develop |||
develop ||| data
||| data digital
data digital libraries
digital libraries for
libraries for these
for these domains
these domains are
domains are hindered
are hindered by
hindered by this
by this lack
this lack of
lack of |||
of ||| standardization
||| standardization |||
standardization ||| data
||| data digital
data digital libraries
digital libraries |||
libraries ||| data
||| data digital
data digital libraries
digital libraries are
libraries are only
are only as
only as valuable
as valuable as
valuable as the
as the data
the data they
data they contain
they contain |||
contain ||| when
||| when data
when data are
data are submitted
are submitted to
submitted to prestigious
to prestigious repositories
prestigious repositories e
repositories e |||
e ||| g
||| g |||
g ||| they
||| they are
they are evaluated
are evaluated rigorously
evaluated rigorously |||
rigorously ||| this
||| this is
this is not
is not the
not the case
the case with
case with data
with data that
data that |||
that ||| are
||| are made
are made available
made available through
available through local
through local websites
local websites or
websites or local
or local repositories
local repositories |||
repositories ||| where
||| where mechanisms
where mechanisms for
mechanisms for data
for data authentication
data authentication are
authentication are less
are less consistent
less consistent or
consistent or |||
or ||| entirely
||| entirely nonexistent
entirely nonexistent |||
nonexistent ||| digital
||| digital library
digital library systems
library systems not
systems not only
not only must
only must be
must be |||
be ||| able
||| able to
able to integrate
to integrate disparate
integrate disparate data
disparate data sets
data sets that
sets that were
that were collected
were collected with
collected with |||
with ||| different
||| different research
different research questions
research questions in
questions in mind
in mind but
mind but must
but must also
must also ensure
also ensure the
ensure the |||
the ||| integrity
||| integrity and
integrity and usability
and usability of
usability of those
of those data
those data |||
data ||| the
||| the diversity
the diversity of
diversity of research
of research questions
research questions techniques
questions techniques and
techniques and |||
and ||| instrumentation
||| instrumentation complicates
instrumentation complicates the
complicates the longterm
the longterm preservation
longterm preservation and
preservation and access
and access |||
access ||| to
||| to data
to data in
data in data
in data digital
data digital libraries
digital libraries |||
libraries ||| scientific
||| scientific researchers
scientific researchers often
researchers often prefer
often prefer |||
prefer ||| to
||| to use
to use their
use their own
their own data
own data because
data because they
because they are
they are intimately
are intimately familiar
intimately familiar with
familiar with |||
with ||| how
||| how those
how those data
those data were
data were collected
were collected the
collected the actions
the actions that
actions that were
that were taken
were taken in
taken in the
in the |||
the ||| field
||| field to
field to collect
to collect them
collect them what
them what went
what went wrong
went wrong and
wrong and what
and what was
what was done
was done to
done to fix
to fix |||
fix ||| those
||| those problems
those problems the
problems the context
the context in
context in which
in which the
which the data
the data were
data were collected
were collected and
collected and |||
and ||| local
||| local subtleties
local subtleties and
subtleties and quirks
and quirks |||
quirks ||| a
||| a prime
a prime goal
prime goal of
goal of data
of data digital
data digital libraries
digital libraries is
libraries is to
is to facilitate
to facilitate widespread
facilitate widespread |||
widespread ||| use
||| use of
use of data
of data by
data by any
by any interested
any interested user
interested user |||
user ||| what
||| what can
what can digital
can digital libraries
digital libraries |||
libraries ||| systems
||| systems do
systems do to
do to ensure
to ensure data
ensure data integrity
data integrity researchers
integrity researchers or
researchers or teachers
or teachers or
teachers or |||
or ||| students
||| students who
students who wish
who wish to
wish to reuse
to reuse data
reuse data rely
data rely on
rely on a
on a variety
a variety of
variety of indicators
of indicators |||
indicators ||| when
||| when assessing
when assessing data
assessing data collected
data collected by
collected by others
by others |||
others ||| indicators
||| indicators include
indicators include the
include the |||
the ||| reputation
||| reputation of
reputation of the
of the data
the data collector
data collector and
collector and the
and the institution
the institution the
institution the quality
the quality of
quality of |||
of ||| papers
||| papers reporting
papers reporting the
reporting the data
the data instrumentation
data instrumentation descriptions
instrumentation descriptions and
descriptions and |||
and ||| specifications
||| specifications and
specifications and any
and any accompanying
any accompanying documentation
accompanying documentation |||
documentation ||| when
||| when these
when these |||
these ||| indicators
||| indicators are
indicators are not
are not available
not available to
available to users
to users the
users the task
the task of
task of assessing
of assessing data
assessing data |||
data ||| integrity
||| integrity is
integrity is much
is much more
much more difficult
more difficult |||
difficult ||| assessing
||| assessing data
assessing data integrity
data integrity |||
integrity ||| assessing
||| assessing data
assessing data integrity
data integrity is
integrity is especially
is especially difficult
especially difficult in
difficult in the
in the |||
the ||| environmental
||| environmental sciences
environmental sciences where
sciences where data
where data practices
data practices vary
practices vary widely
vary widely from
widely from |||
from ||| project
||| project to
project to project
to project |||
project ||| ecological
||| ecological research
ecological research questions
research questions are
questions are typically
are typically |||
typically ||| focused
||| focused on
focused on specific
on specific locales
specific locales or
locales or on
or on particular
on particular types
particular types of
types of phenomena
of phenomena |||
phenomena ||| because
||| because of
because of this
of this research
this research methods
research methods and
methods and instrumentation
and instrumentation varies
instrumentation varies |||
varies ||| widely
||| widely between
widely between projects
between projects |||
projects ||| even
||| even multisite
even multisite comparatives
multisite comparatives such
comparatives such as
such as |||
as ||| the
||| the longterm
the longterm ecological
longterm ecological research
ecological research program
research program lters
program lters are
lters are not
are not |||
not ||| immune
||| immune from
immune from this
from this diversity
this diversity as
diversity as the
as the highly
the highly unpredictable
highly unpredictable and
unpredictable and |||
and ||| variable
||| variable nature
variable nature of
nature of infield
of infield ecological
infield ecological research
ecological research demands
research demands flexibility
demands flexibility |||
flexibility ||| researchers
||| researchers in
researchers in the
in the ecological
the ecological and
ecological and environmental
and environmental sciences
environmental sciences must
sciences must be
must be |||
be ||| able
||| able to
able to design
to design customized
design customized solutions
customized solutions to
solutions to local
to local and
local and unforeseen
and unforeseen |||
unforeseen ||| challenges
||| challenges |||
challenges ||| because
||| because of
because of this
of this assessing
this assessing the
assessing the integrity
the integrity of
integrity of data
of data is
data is a
is a |||
a ||| complex
||| complex and
complex and difficult
and difficult task
difficult task |||
task ||| research
||| research context
research context |||
context ||| to
||| to examine
to examine these
examine these issues
these issues we
issues we are
we are studying
are studying the
studying the data
the data practices
data practices of
practices of |||
of ||| researchers
||| researchers within
researchers within the
within the center
the center for
center for embedded
for embedded networked
embedded networked sensing
networked sensing |||
sensing ||| cens
||| cens a
cens a national
a national science
national science foundation
science foundation science
foundation science and
science and technology
and technology |||
technology ||| center
||| center established
center established in
established in httpwww
in httpwww |||
httpwww ||| cens
||| cens |||
cens ||| ucla
||| ucla |||
ucla ||| edu
||| edu |||
edu ||| cens
||| cens |||
cens ||| supports
||| supports multidisciplinary
supports multidisciplinary collaborations
multidisciplinary collaborations among
collaborations among faculty
among faculty |||
faculty ||| students
||| students and
students and staff
and staff of
staff of five
of five partner
five partner universities
partner universities across
universities across disciplines
across disciplines |||
disciplines ||| ranging
||| ranging from
ranging from computer
from computer science
computer science to
science to biology
to biology |||
biology ||| the
||| the centers
the centers goals
centers goals are
goals are |||
are ||| to
||| to develop
to develop and
develop and implement
and implement wireless
implement wireless sensing
wireless sensing systems
sensing systems and
systems and to
and to apply
to apply |||
apply ||| this
||| this technology
this technology to
technology to address
to address questions
address questions in
questions in a
in a variety
a variety of
variety of scientific
of scientific |||
scientific ||| areas
||| areas including
areas including terrestrial
including terrestrial ecology
terrestrial ecology marine
ecology marine microbiology
marine microbiology |||
microbiology ||| environmental
||| environmental |||
environmental ||| contaminant
||| contaminant |||
contaminant ||| transport
||| transport |||
transport ||| and
||| and |||
and ||| seismology
||| seismology |||
seismology ||| application
||| application of
application of this
of this technology
this technology already
technology already has
already has been
has been shown
been shown to
shown to reveal
to reveal |||
reveal ||| patterns
||| patterns and
patterns and phenomena
and phenomena that
phenomena that were
that were not
were not previously
not previously observable
previously observable |||
observable ||| cens
||| cens immediate
cens immediate concerns
immediate concerns for
concerns for data
for data management
data management its
management its commitment
its commitment |||
commitment ||| to
||| to sharing
to sharing research
sharing research data
research data and
data and its
and its interdisciplinary
its interdisciplinary collaborations
interdisciplinary collaborations |||
collaborations ||| make
||| make it
make it an
it an ideal
an ideal environment
ideal environment in
environment in which
in which to
which to study
to study scientific
study scientific data
scientific data |||
data ||| practices
||| practices and
practices and to
and to construct
to construct digital
construct digital library
digital library architecture
library architecture to
architecture to support
to support the
support the |||
the ||| use
||| use and
use and reuse
and reuse of
reuse of research
of research data
research data |||
data ||| data
||| data integrity
data integrity issues
integrity issues are
issues are becoming
are becoming more
becoming more salient
more salient within
salient within cens
within cens as
cens as |||
as ||| the
||| the new
the new wireless
new wireless sensing
wireless sensing technologies
sensing technologies and
technologies and the
and the scientific
the scientific |||
scientific ||| applications
||| applications using
applications using those
using those technologies
those technologies have
technologies have each
have each matured
each matured |||
matured ||| in
||| in the
in the |||
the ||| initial
||| initial stages
initial stages of
stages of cens
of cens research
cens research the
research the primary
the primary focus
primary focus was
focus was developing
was developing |||
developing ||| new
||| new wireless
new wireless sensing
wireless sensing system
sensing system technology
system technology |||
technology ||| as
||| as is
as is typically
is typically the
typically the case
the case |||
case ||| with
||| with new
with new technology
new technology development
technology development the
development the first
the first few
first few generations
few generations of
generations of |||
of ||| systems
||| systems were
systems were often
were often unreliable
often unreliable sometimes
unreliable sometimes producing
sometimes producing data
producing data with
data with |||
with ||| scientific
||| scientific value
scientific value and
value and other
and other times
other times not
times not |||
not ||| cens
||| cens has
cens has now
has now reached
now reached the
reached the |||
the ||| point
||| point where
point where the
where the nascent
the nascent technology
nascent technology is
technology is consistently
is consistently producing
consistently producing data
producing data |||
data ||| of
||| of real
of real scientific
real scientific value
scientific value and
value and as
and as such
as such must
such must now
must now take
now take means
take means to
means to |||
to ||| address
||| address longterm
address longterm data
longterm data preservation
data preservation and
preservation and access
and access issues
access issues |||
issues ||| additionally
||| additionally questions
additionally questions about
questions about the
about the integrity
the integrity of
integrity of data
of data are
data are coming
are coming to
coming to |||
to ||| the
||| the fore
the fore as
fore as more
as more useful
more useful data
useful data are
data are being
are being produced
being produced |||
produced ||| until
||| until recently
until recently cens
recently cens relied
cens relied on
relied on a
on a largely
a largely oral
largely oral culture
oral culture for
culture for the
for the |||
the ||| exchange
||| exchange of
exchange of data
of data and
data and for
and for the
for the exchange
the exchange of
exchange of information
of information about
information about how
about how |||
how ||| data
||| data are
data are collected
are collected such
collected such as
such as the
as the equipment
the equipment used
equipment used and
used and the
and the state
the state of
state of the
of the |||
the ||| equipment
||| equipment |||
equipment ||| as
||| as the
as the center
the center has
center has grown
has grown an
grown an oral
an oral culture
oral culture is
culture is no
is no longer
no longer |||
longer ||| sufficient
||| sufficient to
sufficient to capture
to capture and
capture and retain
and retain institutional
retain institutional memory
institutional memory |||
memory ||| the
||| the student
the student |||
student ||| research
||| research population
research population turns
population turns over
turns over rapidly
over rapidly and
rapidly and tacit
and tacit knowledge
tacit knowledge needs
knowledge needs |||
needs ||| to
||| to be
to be exchanged
be exchanged within
exchanged within and
within and between
and between many
between many more
many more research
more research teams
research teams |||
teams ||| future
||| future uses
future uses of
uses of cens
of cens data
cens data depend
data depend on
depend on identifying
on identifying and
identifying and |||
and ||| implementing
||| implementing solutions
implementing solutions for
solutions for data
for data preservation
data preservation and
preservation and access
and access |||
access ||| challenges
||| challenges |||
challenges ||| background
||| background on
background on data
on data integrity
data integrity |||
integrity ||| cens
||| cens data
cens data result
data result from
result from sensor
from sensor deployments
sensor deployments where
deployments where researchers
where researchers |||
researchers ||| deploy
||| deploy sensors
deploy sensors and
sensors and wireless
and wireless communication
wireless communication equipment
communication equipment in
equipment in realworld
in realworld field
realworld field locations
field locations |||
locations ||| assessing
||| assessing the
assessing the integrity
the integrity of
integrity of data
of data captured
data captured |||
captured ||| during
||| during realworld
during realworld sensor
realworld sensor deployments
sensor deployments is
deployments is a
is a complex
a complex task
complex task |||
task ||| encompassing
||| encompassing the
encompassing the entire
the entire data
entire data life
data life cycle
life cycle experimental
cycle experimental design
experimental design |||
design ||| equipment
||| equipment calibration
equipment calibration data
calibration data capture
data capture cleaning
capture cleaning derivation
cleaning derivation |||
derivation ||| integration
||| integration analysis
integration analysis publication
analysis publication and
publication and preservation
and preservation |||
preservation ||| the
||| the |||
the ||| following
||| following sections
following sections illustrate
sections illustrate how
illustrate how the
how the task
the task of
task of ensuring
of ensuring data
ensuring data |||
data ||| integrity
||| integrity is
integrity is both
is both a
both a technical
a technical and
technical and a
and a social
a social process
social process |||
